date,forecast_demand
2026-07-01,155.94410816443516
2026-07-02,158.01711459672478
2026-07-03,152.98946981733016
2026-07-04,149.83814150128336
2026-07-05,151.56985597636782
2026-07-06,154.08330218777127
2026-07-07,154.0369336571858
2026-07-08,152.54645327858586
2026-07-09,151.99945378869796
2026-07-10,152.6620038069493
2026-07-11,153.2377178374827
2026-07-12,153.07131042480117
2026-07-13,152.6698979703948
2026-07-14,152.61276229125798
2026-07-15,152.82593830660628
2026-07-16,152.9415340794193
2026-07-17,152.8611651932499
2026-07-18,152.7624781820263
2026-07-19,152.77154953344208
2026-07-20,152.83286435125015
2026-07-21,152.85116933188453
2026-07-22,152.8222967141138
2026-07-23,152.8004495155145
2026-07-24,152.8089498346551
2026-07-25,152.82502453622368
2026-07-26,152.82623657019212
2026-07-27,152.8172853690355
2026-07-28,152.81312703874474
2026-07-29,152.81676962950183
2026-07-30,152.82060918678337
